"year","state","state_po","state_fips","state_cen","state_ic","county","FIPS","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","version"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"U.S. Representative","District 2","gen",FALSE,"Richard Castaldo","libertarian",FALSE,"absentee mail",4,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"U.S. Representative","District 2","gen",FALSE,"Markwayne Mullin","republican",FALSE,"absentee mail",77,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"U.S. Representative","District 2","gen",FALSE,"Jason Nichols","democrat",FALSE,"absentee mail",47,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"U.S. Representative","District 2","gen",FALSE,"John Foreman","independent",FALSE,"absentee mail",1,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Alfalfa",40003,"U.S. Representative","District 3","gen",FALSE,"Frank D. Lucas","republican",FALSE,"absentee mail",45,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Alfalfa",40003,"U.S. Representative","District 3","gen",FALSE,"Frankie Robbins","democrat",FALSE,"absentee mail",15,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Atoka",40005,"U.S. Representative","District 2","gen",FALSE,"Richard Castaldo","libertarian",FALSE,"absentee mail",1,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Atoka",40005,"U.S. Representative","District 2","gen",FALSE,"Markwayne Mullin","republican",FALSE,"absentee mail",69,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Atoka",40005,"U.S. Representative","District 2","gen",FALSE,"Jason Nichols","democrat",FALSE,"absentee mail",32,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Atoka",40005,"U.S. Representative","District 2","gen",FALSE,"John Foreman","independent",FALSE,"absentee mail",1,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Beaver",40007,"U.S. Representative","District 3","gen",FALSE,"Frank D. Lucas","republican",FALSE,"absentee mail",87,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Beaver",40007,"U.S. Representative","District 3","gen",FALSE,"Frankie Robbins","democrat",FALSE,"absentee mail",9,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Beckham",40009,"U.S. Representative","District 3","gen",FALSE,"Frank D. Lucas","republican",FALSE,"absentee mail",161,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Beckham",40009,"U.S. Representative","District 3","gen",FALSE,"Frankie Robbins","democrat",FALSE,"absentee mail",41,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Blaine",40011,"U.S. Representative","District 3","gen",FALSE,"Frank D. Lucas","republican",FALSE,"absentee mail",97,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Blaine",40011,"U.S. Representative","District 3","gen",FALSE,"Frankie Robbins","democrat",FALSE,"absentee mail",20,234065,"20181203"
2018,"Oklahoma","OK",40,73,53,"Bryan",40013,"U.S. Representative","District 2","gen",FALSE,"Richard Castaldo","libertarian",FALSE,"absentee mail",5,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Bryan",40013,"U.S. Representative","District 2","gen",FALSE,"Markwayne Mullin","republican",FALSE,"absentee mail",188,216002,"20181203"
2018,"Oklahoma","OK",40,73,53,"Bryan",40013,"U.S. Representative","District 2","gen",FALSE,"Jason Nichols","democrat",FALSE,"absentee mail",146,216002,"20181203"
