"year","state","state_po","state_fips","state_cen","state_ic","county","FIPS","office","district","stage","special","candidate","party","writein","mode","candidatevotes","totalvotes","version"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Governor","statewide","gen",FALSE,"Chris Powell","libertarian",FALSE,"absentee mail",6,1186385,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Governor","statewide","gen",FALSE,"Kevin Stitt","republican",FALSE,"absentee mail",68,1186385,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Governor","statewide","gen",FALSE,"Drew Edmondson","democrat",FALSE,"absentee mail",54,1186385,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Lieutenant Governor","statewide","gen",FALSE,"Matt Pinnell","republican",FALSE,"absentee mail",77,1178190,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Lieutenant Governor","statewide","gen",FALSE,"Anastasia A. Pittman","democrat",FALSE,"absentee mail",47,1178190,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Lieutenant Governor","statewide","gen",FALSE,"Ivan Holmes","independent",FALSE,"absentee mail",5,1178190,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"State Auditor And Inspector","statewide","gen",FALSE,"John Yeutter","libertarian",FALSE,"absentee mail",27,1089164,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"State Auditor And Inspector","statewide","gen",FALSE,"Cindy Byrd","republican",FALSE,"absentee mail",91,1089164,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Attorney General","statewide","gen",FALSE,"Mike Hunter","republican",FALSE,"absentee mail",83,1172468,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"Attorney General","statewide","gen",FALSE,"Mark Myles","democrat",FALSE,"absentee mail",48,1172468,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"State Treasurer","statewide","gen",FALSE,"Randy Mcdaniel","republican",FALSE,"absentee mail",87,1089182,"20181203"
2018,"Oklahoma","OK",40,73,53,"Adair",40001,"State Treasurer","statewide","gen",FALSE,"Charles De Coune","independent",FALSE,"absentee mail",27,1089182,"20181203"
